id	fc	pval	qval	de
mrg.884	0.00665033682207491	3.52658010420726e-05	0.0527563200546052	-7.23235687348715
mrg.1507	27.833634803658	3.99215437416611e-05	0.0527563200546052	4.79875741788656
mrg.684	0.000267464329640049	0.00567253241980514	0.457233991458283	-11.868365880121
mrg.932	213.046079964521	0.0048639850301393	0.457233991458283	7.73502169603024
mrg.1336	129.2596927773	0.00189735174298589	0.457233991458283	7.01412865752912
mrg.691	0.00881656839446447	0.00566689642413531	0.457233991458283	-6.82556704879275
mrg.1458	104.664083919547	0.00184678300496333	0.457233991458283	6.70962264789243
mrg.1697	82.4403649280433	0.00303401122848546	0.457233991458283	6.3652789859692
mrg.1590	57.5804600186219	0.0031137419639109	0.457233991458283	5.84750740973406
mrg.197	31.00479663559	0.000976076448924612	0.457233991458283	4.95441952158239
mrg.1709	29.7253671632442	0.005821985611417	0.457233991458283	4.89362272491953
mrg.1188	28.3850016638064	0.000941834142151654	0.457233991458283	4.82705692106472
mrg.355	22.7817991904729	0.00217108965422597	0.457233991458283	4.50980978313941
mrg.1187	22.3201265159643	0.00637284886272615	0.457233991458283	4.4802732996278
mrg.1214	15.3902715368017	0.00509725560515517	0.457233991458283	3.94394678083167
mrg.12	14.5674902632191	0.00488587211378488	0.457233991458283	3.86468044128838
mrg.2162	14.1993528739121	0.00536150706999694	0.457233991458283	3.82775327624607
mrg.2361	12.4996954589459	0.00654789132047195	0.457233991458283	3.64382104055707
mrg.175	11.1645486333419	0.00376674265776322	0.457233991458283	3.48085302113935
mrg.1722	10.7082701463549	0.00389346193541529	0.457233991458283	3.42065353549441
mrg.1379	10.366552446004	0.00343825077947679	0.457233991458283	3.37386427871906
mrg.203	7.82253041093075	0.00657392798918455	0.457233991458283	2.96763536210969
mrg.2078	7.81828043720909	0.00255618854224582	0.457233991458283	2.96685133419418
mrg.1845	0.000466179432347986	0.0107003513901616	0.480352895053165	-11.0668270248127
mrg.924	0.00156052903259485	0.0118307702675109	0.480352895053165	-9.32374908678273
mrg.1001	169.179369405351	0.0105719070279572	0.480352895053165	7.40240983937158
mrg.2274	0.0062999931444313	0.0120091239197395	0.480352895053165	-7.31043402597022
mrg.1443	0.00663397997085584	0.00995053688626146	0.480352895053165	-7.23590962827787
mrg.357	0.00706270355072049	0.0090028516716254	0.480352895053165	-7.14556374244042
mrg.236	100.082227454836	0.00832246003478776	0.480352895053165	6.64504199372648
mrg.538	43.6896669162156	0.00893254264427168	0.480352895053165	5.44922020181035
mrg.456	34.6115891073375	0.00755222389451782	0.480352895053165	5.11318327576214
mrg.1075	21.4530977316069	0.0120476379827554	0.480352895053165	4.4231140763816
mrg.2038	20.5892950393557	0.00939871585536833	0.480352895053165	4.36382252900339
mrg.1603	19.0858312415197	0.0102872931210851	0.480352895053165	4.25443011622747
mrg.1323	17.5733881839151	0.00742678752195047	0.480352895053165	4.13532046750186
mrg.402	15.9671637641636	0.0113104280064664	0.480352895053165	3.9970361655095
mrg.902	0.0841310340764787	0.0107847022034323	0.480352895053165	-3.57121811284498
mrg.2407	6.34908663210744	0.0119078848509092	0.480352895053165	2.66654906336412
mrg.565	5.46363452283816	0.0108893356675996	0.480352895053165	2.44986098111631
mrg.2009	4.51798232597486	0.0112523928000718	0.480352895053165	2.17567862702177
mrg.1412	4.32769305353183	0.0115246462005596	0.480352895053165	2.1135981780346
mrg.1807	0.234076140146991	0.0114575595044037	0.480352895053165	-2.09495020975794
mrg.883	0.000698110587471605	0.0147466757032044	0.482328789462205	-10.4842567881582
mrg.2313	115.56852281823	0.0152820968882522	0.482328789462205	6.85260469697434
mrg.2137	69.6739176945679	0.0142063252617497	0.482328789462205	6.12254678175635
mrg.1304	63.8595568259543	0.0132106753719312	0.482328789462205	5.99683063578133
mrg.1828	60.3034339138496	0.0150957704563197	0.482328789462205	5.91416825206125
mrg.1191	57.342663489422	0.0134009846217225	0.482328789462205	5.84153701226206
mrg.2041	28.8737735285076	0.0139124609263759	0.482328789462205	4.85168776134959
mrg.1463	0.035106852155175	0.0152142200026821	0.482328789462205	-4.83210354655273
mrg.1629	26.3501698268801	0.0151651154926166	0.482328789462205	4.7197403549513
mrg.128	22.4929089997614	0.015329405340456	0.482328789462205	4.49139835129579
mrg.1090	19.8864315303889	0.0146628624262857	0.482328789462205	4.31371251357849
mrg.2200	10.992723016199	0.0132759904632295	0.482328789462205	3.45847689658512
mrg.1923	6.42103274403019	0.0140961449192564	0.482328789462205	2.68280535573786
mrg.868	6.98229056799071	0.0157253404611548	0.488965586339202	2.8037003958876
TraesCS2A01G559400	34689.6006725202	0.0180878477962697	0.493955433014531	15.0822156127627
mrg.1946	0.000468742559587337	0.0220425124487109	0.493955433014531	-11.0589165889611
mrg.1154	0.000657228702618278	0.0190472352512423	0.493955433014531	-10.5713168922304
TraesCS7B01G365700	1102.14779105218	0.0184155189219117	0.493955433014531	10.1061019778288
mrg.1054	0.00150017716650642	0.0200442645387739	0.493955433014531	-9.38065139584294
mrg.163	0.00209392030258692	0.0161957250106134	0.493955433014531	-8.89957775225522
mrg.465	412.221517578496	0.0210564448961611	0.493955433014531	8.68727600395213
mrg.1506	380.612717624357	0.0209223950338634	0.493955433014531	8.57217995776359
mrg.825	75.7976561823285	0.0190397617808358	0.493955433014531	6.24408133290891
mrg.1472	69.2621150441275	0.0218462598219769	0.493955433014531	6.11399453840119
mrg.1362	65.5929689389955	0.0169228829130803	0.493955433014531	6.03546927222331
mrg.1591	34.1372762445726	0.0184505355470704	0.493955433014531	5.09327604765227
