geneNames,geneIDs,feature,id,fc,pval,qval
.,mrg.1101,transcript,1810,6.53120451606397,5.0743666009101e-06,0.0186685947247482
.,mrg.1725,transcript,2811,27.8642014851203,7.06954487048606e-05,0.130044277892591
.,mrg.2317,transcript,3762,2.98237752995345,0.000183871735092378,0.225488037801619
.,mrg.1019,transcript,1694,6.04724605983008,0.000402520428708586,0.370218164304722
.,mrg.197,transcript,340,124.062999850137,0.000710645063592974,0.489980180063818
.,mrg.442,transcript,724,163.611703889091,0.000799097874526478,0.489980180063818
.,mrg.1164,transcript,1913,2.9912586842864,0.00128448461302777,0.675088413047024
.,mrg.180,transcript,322,3.80384852218709,0.00196367293923505,0.703876070116615
.,mrg.1821,transcript,3071,0.0147883841752713,0.0020585084749174,0.703876070116615
.,mrg.526,transcript,867,7.12392343644159,0.00218962090170516,0.703876070116615
.,mrg.1467,transcript,2398,26.9061026100604,0.00230016374509101,0.703876070116615
.,mrg.664,transcript,1111,98.9020395337204,0.00236981386757762,0.703876070116615
.,mrg.1458,transcript,2384,107.407311416071,0.00306872852500495,0.703876070116615
.,mrg.110,transcript,169,0.301737036310467,0.00357336880108128,0.703876070116615
.,mrg.476,transcript,782,3.54428965171209,0.00457913187325154,0.703876070116615
.,mrg.2519,transcript,4003,7674.25974165603,0.00482390958686718,0.703876070116615
.,mrg.691,transcript,1163,0.00287178891330998,0.00494848362416578,0.703876070116615
.,mrg.2390,transcript,3861,184.617132082448,0.0050978592934412,0.703876070116615
.,mrg.2105,transcript,3424,0.00593191633519073,0.00541535677775151,0.703876070116615
.,mrg.2215,transcript,3601,97.3579324388737,0.00547069881750928,0.703876070116615
.,mrg.2296,transcript,3733,164.739128303348,0.00565716034601638,0.703876070116615
.,mrg.1227,transcript,1999,0.0175994564794486,0.00573933585358333,0.703876070116615
.,mrg.2276,transcript,3696,0.614353381851139,0.00586315480865096,0.703876070116615
.,mrg.2437,transcript,3927,7.8678043821798,0.00630782234787308,0.703876070116615
.,mrg.1455,transcript,2376,2.77148787000704,0.00646488784553423,0.703876070116615
.,mrg.1426,transcript,2333,5.16678662078936,0.0065209363540033,0.703876070116615
.,mrg.1399,transcript,2285,5.52825899128945,0.00667293014576331,0.703876070116615
.,mrg.2496,transcript,3957,1.89133747667692e-05,0.00677854776958009,0.703876070116615
.,mrg.88,transcript,144,16.2005857149932,0.00742825587432638,0.703876070116615
.,mrg.2198,transcript,3577,437.033812967783,0.00793745174916505,0.703876070116615
.,mrg.1472,transcript,2420,64.6364781914043,0.0081434010879422,0.703876070116615
.,mrg.2219,transcript,3610,35.2742684920535,0.00913557868347348,0.703876070116615
.,mrg.1491,transcript,2449,17.8483834520537,0.00946630691666928,0.703876070116615
.,mrg.1054,transcript,1738,0.000927236607200688,0.00984641470029957,0.703876070116615
.,mrg.1349,transcript,2204,0.821705926987729,0.00995102969842243,0.703876070116615
.,mrg.684,transcript,1158,0.000444630401587105,0.0101405964734239,0.703876070116615
.,mrg.2157,transcript,3511,2376.47344414194,0.0102879385561505,0.703876070116615
.,mrg.2388,transcript,3859,172591.639229101,0.0105754818795434,0.703876070116615
.,mrg.745,transcript,1240,17.3300016827728,0.0108809665509333,0.703876070116615
.,mrg.501,transcript,816,4.41291099205579,0.011163582145587,0.703876070116615
